emp232,wage232,emp236,wage236,emp234,wage234,emp314,wage314,emp228,wage228,emp233,wage233,emp394,wage394,emp231,wage231,emp226,wage226,emp387,wage387,emp056,wage056,unem,cpi,minwage,lemp232,lwage232,gemp232,gwage232,lminwage,gmwage,gmwage_1,gmwage_2,gmwage_3,gmwage_4,gmwage_5,gmwage_6,gmwage_7,gmwage_8,gmwage_9,gmwage_10,gmwage_11,gmwage_12,lemp236,gcpi,lcpi,lwage236,gemp236,gwage236,lemp234,lwage234,gemp234,gwage234,lemp314,lwage314,gemp314,gwage314,t
270.3,0.89,55.9,0.97,106,0.95,265.5,1.05,172.9,1.03,341.3,1.45,91.2,1.11,153.6,1.26,90.7,1.19,42,1.16,635.8,1.02,,23.1,0.4,5.599533,-0.1165338,0.0066819,0,-0.9162907,0,0,0,0,0,0,0,0,0,0,,,,4.023564,0.0043385,3.139833,-0.0304592,-0.0159721,-0.0404095,4.663439,-0.0512933,0.017127,0,5.581615,0.0487901,0.0079412,0.0192313,11
270.9,0.92,58.2,0.99,106.6,0.96,270.4,1.04,176,1.05,354.8,1.51,84.7,1.12,153.8,1.29,91.9,1.2,42,1.15,700.9,1.02,,23.4,0.4,5.60175,-0.0833816,0.0022173,0.0331522,-0.9162907,0,0,0,0,0,0,0,0,0,0,0,,,4.063885,0.0129032,3.152736,-0.0100503,0.0403209,0.0204089,4.669084,-0.040822,0.0056443,0.0104713,5.599902,0.0392207,0.0182872,-0.0095694,12
268.4,0.91,58.7,1.02,105.7,0.97,273.8,1.05,177.6,1.06,364.9,1.58,74.8,1.11,153.7,1.36,92.9,1.22,41.8,1.17,577,1.01,3,23.7,0.4,5.592478,-0.0943106,-0.0092716,-0.0109291,-0.9162907,0,0,0,0,0,0,0,0,0,0,0,0,,4.07244,0.0127392,3.165475,0.0198026,0.0085545,0.0298529,4.660605,-0.0304592,-0.0084786,0.0103628,5.612398,0.0487901,0.0124955,0.0095694,13
272.6,0.91,60.2,1.03,107,0.98,275.6,1.05,178.8,1.08,372.6,1.59,77.1,1.12,153.2,1.36,93.7,1.24,42,1.18,563.6,1,3.4,23.5,0.4,5.608006,-0.0943106,0.0155272,0,-0.9162907,0,0,0,0,0,0,0,0,0,0,0,0,0,4.097672,-0.0084748,3.157,0.0295588,0.0252328,0.0097562,4.672829,-0.0202027,0.0122237,0.0102565,5.61895,0.0487901,0.0065527,0,14
274.3,0.91,60,1.01,106.4,0.98,272.4,1.06,179.8,1.08,367.2,1.56,79.1,1.13,154.3,1.37,93.3,1.24,42.5,1.18,608,1.02,3.1,23.4,0.4,5.614223,-0.0943106,0.006217,0,-0.9162907,0,0,0,0,0,0,0,0,0,0,0,0,0,4.094345,-0.0042644,3.152736,0.0099503,-0.0033278,-0.0196085,4.667206,-0.0202027,-0.0056229,0,5.607272,0.0582689,-0.0116787,0.0094787,15
272.1,0.91,55.7,0.96,103.9,0.98,254.6,1.07,178.2,1.08,328.9,1.43,80.5,1.13,151.4,1.35,93.8,1.24,42.2,1.19,597.6,1.02,3.1,23.8,0.4,5.60617,-0.0943106,-0.0080528,0,-0.9162907,0,0,0,0,0,0,0,0,0,0,0,0,0,4.01998,0.0169497,3.169686,-0.040822,-0.0743647,-0.0507723,4.643429,-0.0202027,-0.023777,0,5.539694,0.0676587,-0.0675778,0.0093898,16
270.7,0.92,56.6,0.99,101.6,0.98,244,1.06,177.4,1.08,317.2,1.42,81,1.14,149.7,1.35,93.2,1.24,41.9,1.19,600.7,1.02,2.4,23.9,0.4,5.601011,-0.0833816,-0.0051584,0.0109291,-0.9162907,0,0,0,0,0,0,0,0,0,0,0,0,0,4.036009,0.0041928,3.173878,-0.0100503,0.0160289,0.0307717,4.621044,-0.0202027,-0.0223851,0,5.497168,0.0582689,-0.0425258,-0.0093898,17
269.6,0.91,59.4,1.04,99.9,0.98,254.8,1.07,177.1,1.08,324.9,1.47,81.5,1.14,150.9,1.35,92.6,1.24,41.8,1.21,600.7,1.04,2,24.1,0.4,5.59694,-0.0943106,-0.0040717,-0.0109291,-0.9162907,0,0,0,0,0,0,0,0,0,0,0,0,0,4.084294,0.0083334,3.182212,0.0392207,0.0482855,0.049271,4.60417,-0.0202027,-0.0168738,0,5.540479,0.0676587,0.0433106,0.0093898,18
254.8,0.92,57.3,1.04,94.8,0.97,258.2,1.06,171.8,1.08,326.4,1.56,79.9,1.13,141.9,1.33,91.1,1.23,38.8,1.22,558.4,1.04,2.4,24.4,0.4,5.540479,-0.0833816,-0.0564609,0.0109291,-0.9162907,0,0,0,0,0,0,0,0,0,0,0,0,0,4.048301,0.0123713,3.194583,0.0392207,-0.0359936,0,4.551769,-0.0304592,-0.0524006,-0.0102565,5.553734,0.0582689,0.0132556,-0.0093898,19
264.5,0.91,59,1.04,101.5,0.99,264,1.08,173.5,1.1,364.5,1.61,84.7,1.15,153.5,1.35,92,1.25,41.2,1.24,540.9,1.04,2.5,24.5,0.4,5.577841,-0.0943106,0.0373626,-0.0109291,-0.9162907,0,0,0,0,0,0,0,0,0,0,0,0,0,4.077538,0.0040898,3.198673,0.0392207,0.0292368,0,4.620059,-0.0100503,0.0682898,0.0204089,5.575949,0.0769611,0.0222149,0.0186922,20
266.7,0.93,58.8,1.06,103.3,0.99,261.5,1.1,168.1,1.11,372.5,1.63,88.5,1.15,153.3,1.35,91.8,1.28,42.9,1.25,592.5,1.04,2.4,24.5,0.4,5.586124,-0.0725707,0.0082831,0.02174,-0.9162907,0,0,0,0,0,0,0,0,0,0,0,0,0,4.074142,0,3.198673,0.0582689,-0.0033956,0.0190482,4.637638,-0.0100503,0.0175786,0,5.566434,0.0953102,-0.0095148,0.0183491,21
267.1,0.92,59.6,1.05,105.8,1.01,259.1,1.09,164.2,1.11,370.6,1.56,89.4,1.16,150.8,1.33,92,1.28,42.8,1.26,625.5,1.06,1.9,24.4,0.4,5.587623,-0.0833816,0.0014987,-0.0108109,-0.9162907,0,0,0,0,0,0,0,0,0,0,0,0,0,4.087656,-0.0040898,3.194583,0.0487901,0.0135136,-0.0094787,4.661551,0.0099503,0.0239129,0.0200006,5.557214,0.0861777,-0.0092201,-0.0091325,22
264.6,0.93,58.8,1.05,106.1,1.01,250.1,1.09,162.2,1.11,370.7,1.59,86.9,1.18,144.5,1.33,92.7,1.29,41.7,1.26,635.8,1.05,2.4,24.2,0.4,5.578219,-0.0725707,-0.0094037,0.0108109,-0.9162907,0,0,0,0,0,0,0,0,0,0,0,0,0,4.074142,-0.0082304,3.186353,0.0487901,-0.0135136,0,4.664382,0.0099503,0.0028315,0,5.521861,0.0861777,-0.0353532,0,23
254.8,0.93,56.8,1.04,103.4,1,253.3,1.09,162.8,1.11,373,1.58,76.2,1.18,143.6,1.34,93.1,1.29,38.9,1.27,700.9,1.05,2.6,24.1,0.4,5.540479,-0.0725707,-0.0377407,0,-0.9162907,0,0,0,0,0,0,0,0,0,0,0,0,0,4.039536,-0.0041409,3.182212,0.0392207,-0.0346055,-0.0095694,4.638605,0,-0.0257769,-0.0099503,5.534575,0.0861777,0.0127134,0,24
244.1,0.94,57.7,1.08,100.4,1,257.4,1.09,158.2,1.11,374.2,1.62,65.8,1.18,143.8,1.34,91.1,1.29,35,1.26,581.1,1.06,4.1,24,0.4,5.497578,-0.0618754,-0.0429006,0.0106953,-0.9162907,0,0,0,0,0,0,0,0,0,0,0,0,0,4.055257,-0.004158,3.178054,0.0769611,0.0157208,0.0377404,4.609162,0,-0.0294428,0,5.550631,0.0861777,0.0160565,0,25
260.6,0.92,60,1.08,101.5,1,259.7,1.09,155,1.11,387,1.59,66.4,1.17,146.5,1.33,91.7,1.29,33.2,1.27,560.5,1.04,4.7,23.8,0.4,5.562987,-0.0833816,0.0654087,-0.0215062,-0.9162907,0,0,0,0,0,0,0,0,0,0,0,0,0,4.094345,-0.0083683,3.169686,0.0769611,0.0390873,0,4.620059,0,0.0108967,0,5.559527,0.0861777,0.0088964,0,26
262.4,0.93,60.5,1.07,100.5,1.01,259,1.09,149.3,1.11,380.9,1.54,66.9,1.18,144.8,1.34,91.2,1.29,32.9,1.27,576,1.04,4.7,23.8,0.4,5.56987,-0.0725707,0.0068831,0.0108109,-0.9162907,0,0,0,0,0,0,0,0,0,0,0,0,0,4.102643,0,3.169686,0.0676587,0.0082989,-0.0093024,4.610157,0.0099503,-0.0099015,0.0099503,5.556828,0.0861777,-0.0026994,0,27
261.5,0.92,56.1,1.01,98,1,253.1,1.09,139.5,1.11,349.9,1.44,68.3,1.18,141.2,1.32,90.5,1.29,32.5,1.26,648.2,1.06,4.4,23.9,0.4,5.566434,-0.0833816,-0.0034356,-0.0108109,-0.9162907,0,0,0,0,0,0,0,0,0,0,0,0,0,4.027136,0.0041928,3.173878,0.0099503,-0.0755076,-0.0577084,4.584968,0,-0.0251899,-0.0099503,5.533785,0.0861777,-0.0230432,0,28
260.5,0.92,54.8,1,96.6,0.99,240.2,1.08,137.9,1.11,317.4,1.38,69.6,1.17,126.2,1.32,88.9,1.29,32.1,1.27,593.5,1.06,4.4,23.8,0.4,5.562603,-0.0833816,-0.0038314,0,-0.9162907,0,0,0,0,0,0,0,0,0,0,0,0,0,4.00369,-0.0041928,3.169686,0,-0.0234456,-0.0099503,4.570579,-0.0100503,-0.014389,-0.0100503,5.481472,0.0769611,-0.0523129,-0.0092167,29
257.4,0.92,59.4,1.03,94.7,1,247.7,1.08,137.1,1.11,320.5,1.42,69.4,1.16,128.9,1.3,86.8,1.28,32.2,1.27,583.2,1.06,4.3,23.9,0.4,5.550631,-0.0833816,-0.011972,0,-0.9162907,0,0,0,0,0,0,0,0,0,0,0,0,0,4.084294,0.0041928,3.173878,0.0295588,0.0806041,0.0295588,4.550714,0,-0.0198646,0.0100503,5.512218,0.0769611,0.0307465,0,30
243.2,0.92,60.3,1.03,92.7,0.98,250.9,1.07,131.6,1.12,327,1.51,67.1,1.15,123.1,1.28,84.6,1.27,31,1.27,536.7,1.05,5,23.7,0.4,5.493884,-0.0833816,-0.056747,0,-0.9162907,0,0,0,0,0,0,0,0,0,0,0,0,0,4.099332,-0.0084033,3.165475,0.0295588,0.0150375,0,4.529368,-0.0202027,-0.0213456,-0.0202027,5.525054,0.0676587,0.012836,-0.0093024,31
257.7,0.9,63.9,1.04,100,0.99,259.4,1.08,137.7,1.11,378.1,1.55,73.6,1.14,136.9,1.32,86,1.28,32.3,1.26,515.1,1.05,4.7,23.8,0.4,5.551796,-0.1053605,0.0579119,-0.021979,-0.9162907,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15732,0.0042105,3.169686,0.0392207,0.0579877,0.0096619,4.60517,-0.0100503,0.0758018,0.0101524,5.558371,0.0769611,0.0333166,0.0093024,32
269.8,0.92,64.2,1.05,105.6,1,255.5,1.09,144.4,1.11,393.2,1.57,82.2,1.17,139.7,1.33,89.1,1.29,33.5,1.27,582.2,1.07,4.4,23.9,0.4,5.597681,-0.0833816,0.0458851,0.021979,-0.9162907,0,0,0,0,0,0,0,0,0,0,0,0,0,4.162003,0.0041928,3.173878,0.0487901,0.0046835,0.0095694,4.659658,0,0.0544882,0.0100503,5.543222,0.0861777,-0.0151486,0.0092167,33
276.5,0.92,64.4,1.05,108.5,1.01,249.2,1.09,149.1,1.12,382.9,1.53,85.8,1.17,134.6,1.32,91,1.29,34.2,1.28,588.4,1.04,5.3,23.7,0.4,5.622211,-0.0833816,0.0245299,0,-0.9162907,0,0,0,0,0,0,0,0,0,0,0,0,0,4.165113,-0.0084033,3.165475,0.0487901,0.0031104,0,4.68675,0.0099503,0.0270915,0.0099503,5.518256,0.0861777,-0.0249667,0,34
276.1,0.92,61.9,1.03,109.5,1.01,232.4,1.08,151.8,1.12,352.8,1.44,84,1.18,124.2,1.33,93.4,1.29,34,1.29,593.5,1.05,4.5,23.8,0.4,5.620763,-0.0833816,-0.0014477,0,-0.9162907,0,0,0,0,0,0,0,0,0,0,0,0,0,4.12552,0.0042105,3.169686,0.0295588,-0.0395932,-0.0192313,4.695925,0.0099503,0.0091748,0,5.44846,0.0769611,-0.0697956,-0.0092167,35
271.5,0.92,60.5,1.05,105.1,1.01,247.2,1.07,153.4,1.12,373,1.51,71.4,1.17,133.5,1.32,94,1.29,33.5,1.29,670.9,1.07,5,23.6,0.4,5.603962,-0.0833816,-0.0168014,0,-0.9162907,0,0,0,0,0,0,0,0,0,0,0,0,0,4.102643,-0.0084388,3.161247,0.0487901,-0.0228767,0.0192313,4.654912,0.0099503,-0.0410123,0,5.510198,0.0676587,0.0617375,-0.0093024,36
265.7,0.93,61.4,1.07,102.8,1.02,254.9,1.08,153.4,1.11,380.2,1.54,61.1,1.19,136,1.33,93.4,1.3,32.4,1.29,545,1.07,6.1,23.5,0.4,5.582368,-0.0725707,-0.021594,0.0108109,-0.9162907,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11741,-0.0042465,3.157,0.0676587,0.0147662,0.0188686,4.632785,0.0198026,-0.0221272,0.0098523,5.540871,0.0769611,0.0306735,0.0093024,37
268.6,0.98,64,1.1,106.4,1.04,257.4,1.1,155.1,1.12,397.3,1.55,64.6,1.19,140.9,1.33,94.1,1.29,31.4,1.29,527.5,1.03,6.3,23.5,0.75,5.593223,-0.0202027,0.0108552,0.052368,-0.2876821,0.6286086,0,0,0,0,0,0,0,0,0,0,0,0,4.158883,0,3.157,0.0953102,0.0414734,0.0276515,4.667206,0.0392207,0.0344205,0.0194181,5.550631,0.0953102,0.0097599,0.0183491,38
270.6,0.98,63.7,1.09,107,1.05,257.4,1.11,154.2,1.12,388.5,1.48,67,1.2,141.1,1.33,93.7,1.3,31,1.3,553.3,1.03,5.9,23.6,0.75,5.600642,-0.0202027,0.0074186,0,-0.2876821,0,0.6286086,0,0,0,0,0,0,0,0,0,0,0,4.154184,0.0042465,3.161247,0.0861777,-0.0046988,-0.0091325,4.672829,0.0487901,0.0056229,0.0095694,5.550631,0.10436,0,0.0090498,39
267.5,0.99,59.1,1.04,105.1,1.05,244.3,1.11,150.6,1.12,351.4,1.41,71,1.21,137.8,1.31,92.5,1.29,30.7,1.3,581.1,1.06,5.2,23.6,0.75,5.589119,-0.0100503,-0.0115223,0.0101524,-0.2876821,0,0,0.6286086,0,0,0,0,0,0,0,0,0,0,4.079231,0,3.161247,0.0392207,-0.0749536,-0.0469571,4.654912,0.0487901,-0.0179162,0,5.498397,0.10436,-0.0522342,0,40
265.1,0.98,58.1,1.05,100.5,1.05,240.4,1.11,149.3,1.13,329.9,1.39,73.6,1.21,135,1.31,90.6,1.29,30.2,1.31,568.7,1.05,4.1,23.7,0.75,5.580107,-0.0202027,-0.0090122,-0.0101524,-0.2876821,0,0,0,0.6286086,0,0,0,0,0,0,0,0,0,4.062166,0.0042284,3.165475,0.0487901,-0.017065,0.0095694,4.610157,0.0487901,-0.044755,0,5.482304,0.10436,-0.0160928,0,41
264.5,0.98,60.7,1.07,98.2,1.05,247.2,1.11,152.2,1.13,325.4,1.44,75.9,1.21,140,1.31,90.5,1.29,30.4,1.31,572.9,1.06,3.4,23.8,0.75,5.577841,-0.0202027,-0.0022659,0,-0.2876821,0,0,0,0,0.6286086,0,0,0,0,0,0,0,0,4.105944,0.0042105,3.169686,0.0676587,0.0437779,0.0188686,4.587006,0.0487901,-0.0231514,0,5.510198,0.10436,0.0278935,0,42
258.8,0.98,62.4,1.09,95.2,1.05,252.8,1.11,152.4,1.13,345.8,1.51,76.9,1.21,132.5,1.31,89,1.3,30.1,1.31,535.7,1.05,3.8,24.1,0.75,5.556056,-0.0202027,-0.0217857,0,-0.2876821,0,0,0,0,0,0.6286086,0,0,0,0,0,0,0,4.133565,0.0125263,3.182212,0.0861777,0.0276217,0.018519,4.55598,0.0487901,-0.0310264,0,5.532598,0.10436,0.0224009,0,43
280.9,0.99,63.7,1.12,105.4,1.06,260.4,1.13,159.8,1.14,393.4,1.58,86.8,1.23,143.6,1.33,93.3,1.31,30.5,1.31,525.4,1.05,3,24.3,0.75,5.637999,-0.0100503,0.081943,0.0101524,-0.2876821,0,0,0,0,0,0,0.6286086,0,0,0,0,0,0,4.154184,0.0082645,3.190476,0.1133287,0.0206189,0.027151,4.657763,0.0582689,0.1017828,0.0094787,5.562219,0.1222176,0.0296202,0.0178576,44
283.1,0.99,63.9,1.1,110.7,1.08,259.5,1.14,164.7,1.16,392.8,1.53,91.5,1.23,142.7,1.33,96.8,1.32,34.3,1.36,579.1,1.08,2.7,24.4,0.75,5.6458,-0.0100503,0.0078015,0,-0.2876821,0,0,0,0,0,0,0,0.6286086,0,0,0,0,0,4.15732,0.0041068,3.194583,0.0953102,0.0031352,-0.0180185,4.706824,0.0769611,0.0490613,0.0186922,5.558757,0.1310282,-0.0034618,0.0088106,45
284.5,1,64.3,1.12,112.8,1.09,253.4,1.15,166.5,1.23,383.4,1.55,94.7,1.24,143.6,1.34,97.9,1.37,35.8,1.39,595.6,1.07,2.3,24.6,0.75,5.650733,0,0.0049334,0.0100503,-0.2876821,0,0,0,0,0,0,0,0,0.6286086,0,0,0,0,4.16356,0.0081632,3.202746,0.1133287,0.0062404,0.0180185,4.725616,0.0861777,0.0187926,0.0092167,5.534969,0.1397619,-0.0237875,0.0087337,46
283,1.02,60.9,1.09,110.7,1.1,248.4,1.16,166.7,1.23,356.2,1.48,90.5,1.26,142.5,1.36,97.4,1.4,36.9,1.42,606.9,1.07,2.4,24.7,0.75,5.645447,0.0198026,-0.0052867,0.0198026,-0.2876821,0,0,0,0,0,0,0,0,0,0.6286086,0,0,0,4.109233,0.0040569,3.206803,0.0861777,-0.0543265,-0.027151,4.706824,0.0953102,-0.0187926,0.0091325,5.51504,0.14842,-0.0199289,0.0086581,47
281,1.04,61.3,1.13,106.5,1.11,251.7,1.16,165.9,1.23,380.8,1.56,78.6,1.29,143.1,1.45,97.5,1.41,37.1,1.43,689.5,1.09,2.9,25,0.75,5.638355,0.0392207,-0.007092,0.0194181,-0.2876821,0,0,0,0,0,0,0,0,0,0,0.6286086,0,0,4.11578,0.0120726,3.218876,0.1222176,0.0065465,0.0360399,4.668145,0.10436,-0.0386786,0.0090498,5.528238,0.14842,0.0131974,0,48
281.7,1.06,63.2,1.16,103.5,1.12,257.1,1.18,167.7,1.23,391.2,1.62,72.7,1.28,143.8,1.45,97.5,1.43,36.7,1.44,562.8,1.12,3.2,25.4,0.75,5.640843,0.0582689,0.0024881,0.0190482,-0.2876821,0,0,0,0,0,0,0,0,0,0,0,0.6286086,0,4.146304,0.0158732,3.234749,0.14842,0.0305243,0.0262024,4.639572,0.1133287,-0.0285735,0.0089687,5.549465,0.1655144,0.0212274,0.0170944,49
290.2,1.06,65.6,1.18,107.6,1.13,261.7,1.19,169.1,1.23,406.2,1.62,77.4,1.32,146.4,1.45,98.6,1.43,37.4,1.43,555.6,1.1,2.9,25.7,0.75,5.67057,0.0582689,0.0297275,0,-0.2876821,0,0,0,0,0,0,0,0,0,0,0,0,0.6286086,4.183576,0.0117419,3.246491,0.1655144,0.0372715,0.0170944,4.678421,0.1222176,0.0388489,0.0088889,5.567199,0.1739534,0.0177336,0.008439,50
294.2,1.07,63.6,1.14,107.8,1.12,259.3,1.21,167.3,1.23,391.8,1.55,79.3,1.32,146.6,1.45,97.7,1.42,37.5,1.45,619.4,1.09,2.5,25.8,0.75,5.68426,0.0676587,0.0136895,0.0093898,-0.2876821,0,0,0,0,0,0,0,0,0,0,0,0,0,4.152614,0.0038836,3.250375,0.1310282,-0.030962,-0.0344861,4.680278,0.1133287,0.0018573,-0.0088889,5.557986,0.1906204,-0.009213,0.016667,51
292.3,1.06,61.4,1.13,106.1,1.13,247.2,1.21,165,1.23,348.2,1.46,80.3,1.31,143.6,1.44,88.9,1.42,37.8,1.45,585.2,1.09,2,25.8,0.75,5.677781,0.0582689,-0.0064793,-0.0093898,-0.2876821,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11741,0,3.250375,0.1222176,-0.0352039,-0.0088106,4.664382,0.1222176,-0.0158958,0.0088889,5.510198,0.1906204,-0.0477881,0,52
283.1,1.05,58.5,1.14,100.1,1.13,232.5,1.21,163.8,1.23,326.7,1.46,78.9,1.3,140.5,1.45,92.9,1.42,37.3,1.46,593.9,1.11,1.8,25.9,0.75,5.6458,0.0487901,-0.0319805,-0.0094787,-0.2876821,0,0,0,0,0,0,0,0,0,0,0,0,0,4.069027,0.0038683,3.254243,0.1310282,-0.0483828,0.0088106,4.60617,0.1222176,-0.0582123,0,5.44889,0.1906204,-0.0613074,0,53
275.1,1.05,61.7,1.15,97.9,1.14,244.2,1.21,161,1.24,333.9,1.5,77,1.3,140.9,1.45,91.6,1.43,37.6,1.46,592.2,1.11,1.8,25.9,0.75,5.617135,0.0487901,-0.0286655,0,-0.2876821,0,0,0,0,0,0,0,0,0,0,0,0,0,4.122284,0,3.254243,0.1397619,0.053257,0.0087337,4.583947,0.1310282,-0.022223,0.0088106,5.497988,0.1906204,0.0490975,0,54
262.7,1.06,62.1,1.18,95.9,1.13,238.3,1.2,156.1,1.24,351.6,1.59,72.4,1.3,134.5,1.44,87.2,1.42,36.6,1.44,553.7,1.11,2.1,25.9,0.75,5.571013,0.0582689,-0.0461216,0.0094787,-0.2876821,0,0,0,0,0,0,0,0,0,0,0,0,0,4.128746,0,3.254243,0.1655144,0.0064621,0.0257525,4.563306,0.1222176,-0.0206409,-0.0088106,5.47353,0.1823216,-0.0244575,-0.0082988,55
267.6,1.06,62.7,1.18,98.8,1.14,245.1,1.2,156,1.24,379.2,1.61,75.2,1.3,143.5,1.45,86.5,1.43,37.2,1.46,541.5,1.09,2.1,25.9,0.75,5.589493,0.0582689,0.0184803,0,-0.2876821,0,0,0,0,0,0,0,0,0,0,0,0,0,4.138361,0,3.254243,0.1655144,0.0096154,0,4.593098,0.1310282,0.0297918,0.0088106,5.501667,0.1823216,0.0281363,0,56
269.7,1.07,60.6,1.2,99.7,1.15,231.2,1.22,154.4,1.25,368.9,1.6,74.2,1.31,142.1,1.45,86.5,1.43,37.5,1.47,589.1,1.12,2,26.1,0.75,5.59731,0.0676587,0.0078168,0.0093898,-0.2876821,0,0,0,0,0,0,0,0,0,0,0,0,0,4.104295,0.0076923,3.261935,0.1823216,-0.0340667,0.0168072,4.602166,0.1397619,0.009068,0.0087337,5.443283,0.1988509,-0.0583835,0.0165293,57
268.7,1.07,61.9,1.19,102.3,1.15,224.8,1.21,151.2,1.25,353,1.54,74.3,1.32,134.9,1.45,87.9,1.44,38.2,1.48,608.6,1.13,1.8,26.2,0.75,5.593596,0.0676587,-0.0037146,0,-0.2876821,0,0,0,0,0,0,0,0,0,0,0,0,0,4.12552,0.0038242,3.265759,0.1739534,0.0212255,-0.0083682,4.62791,0.1397619,0.025744,0,5.415211,0.1906204,-0.0280719,-0.0082305,58
