Brand	Price	Calories	Fat	Vitamin	Fruits	Age	Choice
7	3.84	744	50	5	7	42	0
8	3.16	595	40	7	8	38	1
9	5	1041	69	4	6	37	0
4	3.84	744	50	5	5	27	0
3	3.16	595	40	7	10	20	1
1	5.19	1041	69	4	2	22	0
1	2.58	463	28	9	13	23	1
2	3.65	926	57	4	6	22	0
3	2.05	310	19	13	18	45	1
4	4.18	1080	66	4	6	20	0
5	1.5	154	9	15	21	45	1
6	3.12	250	14	5	7	22	1
1	2.58	617	38	6	9	18	1
2	3.65	700	50	5	6	32	0
3	2.58	309	19	13	18	76	1
4	3.65	1100	67	4	6	81	0
5	1.88	309	19	13	18	58	1
6	5.42	772	16	5	9	64	1
7	1.17	617	33	6	9	87	1
8	4	1080	57	4	6	55	0
9	3.29	710	41	5	6	55	1
7	4.5	617	33	6	9	57	1
8	4	1150	61	5	6	81	0
9	2.58	720	41	5	7	64	1
1	5.42	401	21	10	14	62	1
2	4	668	35	6	9	66	1
3	3.29	267	14	11	18	65	1
4	4	935	49	4	6	87	0
5	2.58	134	7	12	17	55	1
6	5.42	200	12	6	9	55	1
1	2.58	401	23	10	14	81	1
2	4	802	46	5	7	58	0
1	1.88	534	31	7	10	58	1
2	5.42	668	38	6	9	55	1
3	1.17	550	31	7	10	87	1
4	4	935	54	4	6	57	0
5	2.58	182	10	15	21	81	1
6	4	210	14	4	6	48	1
7	2.58	730	42	5	7	58	1
8	5.42	1200	73	3	4	64	0
9	4	912	52	4	6	48	0
7	2.58	730	42	5	7	66	0
8	5.42	1277	73	6	9	56	0
9	4	912	52	4	6	50	0
1	2.58	730	42	5	7	52	0
2	4.71	912	52	4	6	76	0
3	1.88	547	31	7	10	58	1
4	5.42	1200	69	3	4	59	0
1	1.17	730	42	5	7	87	0
2	4	1094	63	4	6	67	0
3	3.28	365	21	11	16	76	1
4	4.68	1275	73	3	4	58	0
5	3.28	182	10	15	21	59	1
6	3.98	200	20	4	6	65	1
7	1.87	547	31	7	10	55	1
8	5.39	1270	73	3	4	70	0
9	1.16	730	42	5	8	55	0
6	3.98	220	20	7	10	81	1
7	2.57	468	27	9	13	60	1
8	5.39	702	47	6	9	70	0
9	3.98	585	39	7	10	34	1
7	2.57	234	16	17	24	22	1
8	5.39	818	55	5	7	23	0
9	3.98	585	39	7	11	40	1
1	3.28	468	31	9	13	36	1
2	3.98	702	47	6	9	45	0
3	1.87	351	23	11	16	21	1
4	5.39	818	55	5	7	45	0
5	1.87	117	8	15	12	23	1
6	3.98	225	16	7	10	21	1
1	1.87	468	31	9	13	44	1
2	5.39	702	47	6	9	34	1
1	1.16	468	31	9	14	44	1
2	3.98	702	47	6	9	43	1
3	2.57	312	21	13	18	20	1
4	5.39	1091	73	4	2	18	0
5	4.68	156	10	14	20	22	1
6	2.57	240	10	5	7	18	1
7	4.68	623	42	6	9	21	1
8	1.87	1091	73	4	7	44	0
9	5.39	740	52	5	7	44	0
7	1.13	468	31	9	13	21	1
8	3.84	1091	73	4	6	20	0
9	3.16	779	52	5	2	18	0
1	3.84	623	42	6	9	22	1
2	1.81	779	52	5	7	22	0
3	5.19	468	31	9	13	35	1
4	1.81	1091	73	4	6	42	0
1	3.84	468	31	9	13	43	1
2	3.16	790	52	5	7	45	0
3	5	312	21	13	18	18	1
4	3.84	1091	73	4	6	44	0
5	3.16	156	10	15	21	43	1
6	5.19	230	12	5	9	21	1
7	2.58	468	31	9	13	44	1
6	3.65	300	11	5	1	80	1
7	2.05	500	31	9	13	28	1
8	4.18	1100	73	4	6	45	0
9	1.5	820	52	5	3	32	0
7	3.12	468	31	9	5	28	1
8	2.58	1091	73	4	6	45	0
9	3.65	730	52	5	7	20	0
1	2.58	468	31	9	13	18	1
2	3.65	935	62	4	3	45	0
3	1.88	312	21	13	18	18	1
4	5.42	1091	73	4	6	32	0
5	1.17	156	10	16	23	25	1
6	4	240	13	5	2	20	1
1	3.29	620	41	6	9	18	1
2	4.5	930	62	4	6	22	0
1	4	620	41	6	9	23	1
2	2.58	775	52	5	7	77	0
3	5.42	310	21	13	18	55	1
4	4	1085	72	4	6	57	0
5	3.29	155	10	17	24	62	1
6	4	775	14	5	2	47	0
7	2.58	465	31	9	13	58	1
8	5.42	1085	72	4	6	55	0
9	2.58	775	52	5	2	55	0
7	4	465	31	10	14	57	1
8	1.88	1085	72	5	4	81	0
9	5.42	775	52	5	2	58	0
1	1.17	620	41	6	9	57	0
2	4	775	52	5	7	64	0
3	2.58	310	21	13	18	62	1
4	4	1085	72	4	6	61	0
1	2.58	310	21	13	18	66	1
2	5.42	775	52	5	2	48	0
3	4	310	21	13	18	55	1
4	2.58	1085	72	4	6	55	0
5	5.42	155	10	18	31	62	1
6	4	265	10	5	2	55	1
7	2.58	465	31	12	17	81	1
8	4.71	1085	72	4	6	58	0
9	1.88	930	62	4	6	60	0
9	5.42	465	31	9	13	70	1
1	1.17	930	62	5	2	65	0
2	4	310	21	13	18	64	1
3	3.28	1085	72	4	6	87	0
4	4.68	149	10	17	3	50	1
1	3.28	744	50	6	9	67	0
2	3.98	595	40	8	11	70	1
3	1.87	744	50	5	7	64	1
4	5.39	297	20	13	9	81	1
5	1.16	1041	69	4	6	70	0
6	3.98	200	12	13	9	55	1
7	2.57	744	50	5	7	57	0
8	5.39	595	40	7	8	81	1
9	3.98	1041	69	4	6	58	0
4	2.57	744	50	5	5	60	0
3	5.39	595	40	7	10	65	1
1	3.98	1041	69	4	2	50	0
